名前,タイプ,分類,威力,PP,説明,効果
はたく,ノーマル,ぶつり,40,35,長いしっぽや手などを使って相手をはたいて攻撃する。,Inflicts regular damage.
からてチョップ,かくとう,ぶつり,50,25,鋭いチョップで相手をたたいて攻撃する。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
おうふくビンタ,ノーマル,ぶつり,15,10,おうふくビンタで相手をたたいて攻撃する。２ー５回のあいだ連続でだす。,"Inflicts regular damage.  Hits 2?5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
れんぞくパンチ,ノーマル,ぶつり,18,15,どとうのパンチで相手をなぐりつけて攻撃する。２ー５回のあいだ連続でだす。,"Inflicts regular damage.  Hits 2?5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
メガトンパンチ,ノーマル,ぶつり,80,20,力をこめたパンチで相手を攻撃する。,Inflicts regular damage.
ネコにこばん,ノーマル,ぶつり,40,20,相手の体に小判を投げつけて攻撃する。戦闘のあとでお金がもらえる。,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
ほのおのパンチ,ほのお,ぶつり,75,15,炎をこめたパンチで相手を攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target.
れいとうパンチ,こおり,ぶつり,75,15,冷気をこめたパンチで相手を攻撃する。こおり状態にすることがある。,Inflicts regular damage.  Has a 10% chance to freeze the target.
かみなりパンチ,でんき,ぶつり,75,15,電撃をこめたパンチで相手を攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 10% chance to paralyze the target.
ひっかく,ノーマル,ぶつり,40,35,硬くとがった鋭いツメで相手をひっかいて攻撃する。,Inflicts regular damage.
はさむ,ノーマル,ぶつり,55,30,相手を両側からはさんでダメージをあたえる。,Inflicts regular damage.
ハサミギロチン,ノーマル,ぶつり,,5,大きなハサミで相手を切り裂いて攻撃する。当たれば一撃でひんしにする。,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
かまいたち,ノーマル,とくしゅ,80,10,風の刃をつくり２ターン目に相手を攻撃する。急所に当たりやすい。,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk."
つるぎのまい,ノーマル,へんか,,20,戦いの舞を激しくおどって気合を高める。自分の攻撃をぐーんとあげる。,Raises the user's Attack by two stages.
いあいぎり,ノーマル,ぶつり,50,30,カマやツメなどで相手を切りつけて攻撃する。細い木も切ることができる。,Inflicts regular damage.
かぜおこし,ひこう,とくしゅ,40,35,翼でおこした激しい風を相手にぶつけて攻撃する。,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
つばさでうつ,ひこう,ぶつり,60,35,大きくひろげたりっぱな翼を相手にぶつけて攻撃する。,Inflicts regular damage.
ふきとばし,ノーマル,へんか,,20,相手を吹きとばして控えのポケモンをひきずりだす。野生の場合は戦闘が終わる。,"Switches the target out for another of its trainer's Pok?mon selected at random.  Wild battles end immediately.

Doesn't affect Pok?mon with suction cups or under the effect of ingrain."
そらをとぶ,ひこう,ぶつり,90,15,１ターン目で空へ飛び２ターン目に相手を攻撃する。知っている街に飛ぶこともできる。,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk."
しめつける,ノーマル,ぶつり,15,20,長い体やつるなどを使い４ー５ターンのあいだ相手を締めつけて攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
たたきつける,ノーマル,ぶつり,80,20,長いしっぽやつるなどを使い相手をたたきつけて攻撃する。,Inflicts regular damage.
つるのムチ,くさ,ぶつり,45,25,ムチのようにしなる細長いつるで相手をたたきつけて攻撃する。,Inflicts regular damage.
ふみつけ,ノーマル,ぶつり,65,20,大きな足で相手を踏みつけて攻撃する。相手をひるませることがある。,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pok?mon that have used minimize since entering the field."
にどげり,かくとう,ぶつり,30,30,２本の足で相手をけとばして攻撃する。２回連続でダメージを与える。,Inflicts regular damage.  Hits twice in one turn.
メガトンキック,ノーマル,ぶつり,120,5,ものすごい力をこめたキックで相手をけとばして攻撃する。,Inflicts regular damage.
とびげり,かくとう,ぶつり,100,10,高いジャンプからのキックで相手を攻撃する。はずすと自分がダメージを受ける。,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect."
まわしげり,かくとう,ぶつり,60,15,体を素早く回転させながらけとばして攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 30% chance to make the target flinch.
すなかけ,じめん,へんか,,15,相手の顔に砂をかけて命中率をさげる。,Lowers the target's accuracy by one stage.
ずつき,ノーマル,ぶつり,70,15,頭を突きだしてまっすぐつっこんで攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 30% chance to make the target flinch.
つのでつく,ノーマル,ぶつり,65,25,鋭くとがったつので相手を攻撃する。,Inflicts regular damage.
みだれづき,ノーマル,ぶつり,15,20,つのやくちばしで相手をつついて攻撃する。２ー５回のあいだ連続でだす。,"Inflicts regular damage.  Hits 2?5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
つのドリル,ノーマル,ぶつり,,5,回転するつのを相手に突き刺して攻撃する。当たれば一撃でひんしにする。,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
たいあたり,ノーマル,ぶつり,40,35,相手にむかって全身でぶつかっていき攻撃する。,Inflicts regular damage.
のしかかり,ノーマル,ぶつり,85,15,全身で相手にのしかかり攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 30% chance to paralyze the target.
